company,id,number_of_board_memebers,average_age_board,executives,total_active_assignments,total_prev_assignments,companies
Turessons Bygg i Varberg AB,5567103337,4,45,Turesson; Kurt Roland,12,9,Turessons Bygg i Varberg AB|Varbergskaninen Projekt AB|Hästhagaporten Fastighets AB|Takryttaren Fastighets AB|Takryttaren Projekt AB|Ketoro Holding AB|Hästhagaporten Holding AB|Varbergskaninen Invest AB|Takryttaren Holding AB|Stålgatans Förvaltning AB|Roland Turesson AB|Bostadsrättsföreningen Bålverket
Markteknik Sverige AB,5565744546,3,56,Karlsson; Kent Roger,4,2,Markteknik Sverige AB|Allschakt Miljö Varberg AB|Bergkraft Fastighet AB|BERGKRAFT SVERIGE AB
Halmstads Drivmedelsteknik Aktiebolag,5563641132,4,61,Aronsson; Peter Johnny Mikael,3,1,asurmer AB|Halmstads Drivmedelsteknik Aktiebolag|Compromix AB
Anker AB,5566030549,3,53,Olsson; Dan Kenneth,1,7,Anker AB
Aktiebolaget Halmstad Kylteknik,5565793006,4,54,Olsson; Jan Henrik,8,6,Aktiebolaget Halmstad Kylteknik|Kyl-Consult i Halmstad Aktiebolag|Henrik Olsson Förvaltnings AB|Fastighetsbolaget Furuviksringen 30 AB|SWEBAC Aktiebolag|Bra ideer Sverige AB|God Utväxling AB|Toppskiktet Holding AB
Vertiseit AB (publ),5567535272,6,47,Lagerqvist; Jonas Kristoffer,12,6,Vertiseit AB (publ)|DISE International AB|Digital Signage Solutions Sweden AB|InStoreMedia AB|FGB Fastighets AB|Kristin Lagerqvist AB|Ferrum Förvaltnings AB|Kohagen AB|Ferrum Viskastigen AB|Subbe Fyr AB|Ferrum Veddige AB|Ferrum AB
Vertiseit AB (publ),5567535272,6,47,Lind; Johan Tobias,4,13,Vertiseit AB (publ)|DISE International AB|Digital Signage Solutions Sweden AB|InStoreMedia AB
Kenneths Bygg Aktiebolag,5564054319,2,38,Johansson; Lars Johan Marcus,4,0,Kenneths Bygg Aktiebolag|Skravelsbo Ettan AB|Marcus Johansson Holding AB|Sjökanten AB
Brion Ventilation AB,5591094718,4,48,Engström; Olov Niclas,1,1,Brion Ventilation AB
Harry Larssons Bygg Falkenberg AB,5566654124,3,49,Pettersson; Helen Annelie,3,4,A Pettersson Glommen Holding AB|Harry Larssons Bygg Falkenberg AB|TAF Holding AB
