company,id,number_of_board_memebers,average_age_board,executives,total_active_assignments,total_prev_assignments,companies
K M i Umeå AB,5563341063,2,68,Eriksson; Nils Erik Melker,9,8,Grus Schakt Umeå AB|Umeå Last AB|Vuf AB|Ströms Marina Ek. för.|ERIKSSONS LASTMASKINER|Praare AB|K M i Umeå AB|Redusoil AB|AEBN HOTELS INVEST AB
Alldela Förvaltning AB,5567324511,2,46,Karlsson; Hans Göran,5,4,Caretech Umeå AB|Botsmark Bredbandsförening Ekonomisk förening|Alldela Förvaltning AB|Carl Robin AB|Botsmark-Åkullsjöbygdens Framtid & Utveckling     (BÅFU) ekonomisk förening
Curts Last- o. Planeringsarbeten Aktiebolag,5562707926,2,75,Forsman; Kurt Uno Roland,1,3,Curts Last- o. Planeringsarbeten Aktiebolag
K-H Lindberg Gräv Aktiebolag,5564111846,2,72,Lindberg; Bernt Karl Henry,1,1,K-H Lindberg Gräv Aktiebolag
Nordmalings Bergteknik AB,5564313954,2,74,Jonsson; Tom Börje,2,6,AOJ Consult Trading AB|Nordmalings Bergteknik AB
SO.s Konsult & Bygg AB,5591440762,2,65,Öjebrandt; Arnold Walther Oswald,1,2,SO.s Konsult & Bygg AB
SO.s Konsult & Bygg AB,5591440762,2,65,Öjebrandt; Solveig Eleonor,1,1,SO.s Konsult & Bygg AB
ITSA Holding AB,5569294696,2,47,Bjurman; Pär Birger Nicklas,12,46,Sens Care / MixMedicare AB|Sens Resources AB|Umekorren7 AB|kv skärmen AB|Sens Fastighets AB|Umeå Attefallshus AB|Global Marketing in Sweden AB|ITSA Holding AB|Sens Care AB|Bostadsrättsföreningen Ekorren|Bostadsrättsföreningen Borrmaskinen|Global Tegs AB
Cityplåt i Umeå AB,5566824966,2,64,Karlsson; Erik Jonas,3,2,SOSEKA AB|Eriksdals Plåtkonsult AB|Cityplåt i Umeå AB
Smart Climate Holding AB,5565145702,3,65,Gustafsson; Nils Göte Tomas,2,0,Smart Climate Scandinavian AB|Smart Climate Holding AB
TH Invest AB,5566421771,3,58,Holmberg; Lars Håkan,12,12,Agile Skellefteå AB|EnviGas Technology AB|Bure Fabrik AB|Bureå Carbon Fastighet AB|ORC Thermodynamics AB|Stål Montage i Skellefteå|TH Invest AB|Meva Power Service AB|Skellefteå Carbon AB|STERCUS AB|Björnsholmens Exploatering AB|AB Sågen Bureå 39-56
Tegsbyggen Lage Åström Aktiebolag,5562356575,3,72,Åström; Bengt Lage,1,2,Tegsbyggen Lage Åström Aktiebolag
Aconal Partial AB,5565375408,2,70,Forsberg; Nils Erik Artur,2,1,Aconal Partial AB|KEIRA
AL i Umeå AB,5567407829,2,71,Lundström; Karl Allan Alexander,2,15,Eraj AB|AL i Umeå AB
Bröderna Marthin Aktiebolag,5562105246,4,67,Marthin; Nils Erik,1,0,Bröderna Marthin Aktiebolag
Bröderna Marthin Aktiebolag,5562105246,4,67,Marthin; Hans Bertil,2,1,MM Forest AB|Bröderna Marthin Aktiebolag
