company,id,status,actual_status,remark,default_date
Matilda Lindblom Design och Inredningsarkitektur AB,5569318081,aktivt,aktivt,,
Mullsjö Lyfttjänst Aktiebolag,5561880617,aktivt,aktivt,,
Rickard Fransson Industriservice I Nässjö AB,5569378671,aktivt,aktivt,,
Höglandets Optoservice AB,5569799272,aktivt,aktivt,,
Sjöbrinken Försäljnings AB,5569937187,aktivt,aktivt,,
Stensjöns Markarbete AB,5566699095,aktivt,aktivt,,
Webbyrå Studio V19 AB,5567067896,aktivt,aktivt,,
Petema AB,5591713531,aktivt,aktivt,,
Hustjänst i Onsala AB,5566514690,aktivt,aktivt,,
T Martinssons Byggnads Aktiebolag,5563029916,aktivt,aktivt,,
Robust bygg vätterstaden AB,5592092877,aktivt,aktivt,,
Bygginvest 1891 AB,5592097819,aktivt,aktivt,,
Kjell Norén Golvkonsult AB,5566652482,aktivt,aktivt,,
Blue Lighthouse art & design AB,5591831663,aktivt,aktivt,,
VVS - Mats Lindblom AB,5567090328,aktivt,aktivt,,
Thomas Gustafsson Alltjänst AB,5567532980,aktivt,aktivt,,
Repslagaren Entreprenad Aktiebolag,5567738173,aktivt,aktivt,,
Inneklimat Svenska AB,5590286323,aktivt,aktivt,,
